substance,classe,trouble,medicament_ansm,statut
alprazolam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
bromazépam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
clobazam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
clorazépate dipotassique,Anxiolytique (benzodiazépine),Anxiété,Tranxène 20 mg/2 ml,Rupture de stock
clotiazépam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
diazépam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
loflazépate d'éthyle,Anxiolytique (benzodiazépine),Anxiété,Victan 2 mg,Rupture de stock
lorazépam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
oxazépam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
prazépam,Anxiolytique (benzodiazépine),Anxiété,(non listé ANSM),Non signalé
hydroxyzine,Anxiolytique (antihistaminique),Anxiété légère,(non listé ANSM),Non signalé
buspirone,Anxiolytique,Anxiété généralisée,(non listé ANSM),Non signalé
citalopram,Antidépresseur (ISRS),Trouble panique,(non listé ANSM),Non signalé
escitalopram,Antidépresseur (ISRS),Anxiété généralisée / panique / anxiété sociale,(non listé ANSM),Non signalé
fluoxétine,Antidépresseur (ISRS),TOC,(non listé ANSM),Non signalé
fluvoxamine,Antidépresseur (ISRS),TOC,Fluvoxamine 100 mg,Remise à disposition
paroxétine,Antidépresseur (ISRS),Anxiété sociale / panique / TOC / ESPT / TAG,(non listé ANSM),Non signalé
sertraline,Antidépresseur (ISRS),Trouble panique / TOC / anxiété sociale / ESPT,(non listé ANSM),Non signalé
venlafaxine,Antidépresseur (IRSNa),Anxiété généralisée / panique / anxiété sociale,Spécialités à base de Venlafaxine LP 37,Tension d'approvisionnement
venlafaxine,Antidépresseur (IRSNa),Anxiété généralisée / panique / anxiété sociale,Venlafaxine Viatris 50 mg,Remise à disposition
duloxétine,Antidépresseur (IRSNa),Anxiété généralisée,(non listé ANSM),Non signalé
clomipramine,Antidépresseur (tricyclique),TOC / trouble panique,Clomipramine Viatris 25 mg,Tension d'approvisionnement
cyamémazine,Antipsychotique,Anxiété (2e intention),Tercian 50 mg/5 ml,Remise à disposition
sulpiride,Antipsychotique,Anxiété (2e intention),(non listé ANSM),Non signalé
