medicament,statut,domaine,date_maj,date_debut,date_remise,url
"Oracilline 250 000 UI/5 ml, suspension buvable – [benzathine phénoxyméthylpénicilline]",Rupture de stock,Infectiologie,,2026-06-25,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/oracilline-250-000-ui-5-ml-suspension-buvable-benzathine-phenoxymethylpenicilline
"Méthylprednisolone Hikma 500 mg, poudre pour solution injectable – [méthylprednisolone (hydrogénosuccinate sodique de)]",Tension d'approvisionnement,"Allergologie, Infectiologie, Neurologie",2026-07-08,2025-06-26,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylprednisolone-hikma-500-mg-poudre-pour-solution-injectable-methylprednisolone-hydrogenosuccinate-sodique-de
"Rifater, comprimé enrobé – [isoniazide, pyrazinamid, rifampicine]",Remise à disposition,Infectiologie,2026-07-07,2026-06-30,2026-06-30,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/rifater-comprime-enrobe-isoniazide-pyrazinamid-rifampicine
"Miochole 20 mg, poudre et solvant pour solution intraoculaire – [chlorure d'acétylcholine]",Tension d'approvisionnement,Ophtalmologie,2026-07-07,2025-05-22,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/miochole-20-mg-poudre-et-solvant-pour-solution-intraoculaire-chlorure-dacetylcholine
"Micropakine L.P. 250 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",Remise à disposition,Neurologie,2026-07-07,2026-07-07,2026-07-07,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/micropakine-l-p-250-mg-granules-a-liberation-prolongee-en-sachet-dose-acide-valproique-sodium-valproate-de
"Alepsal, comprimé – [caféine / phénobarbital]",Tension d'approvisionnement,Neurologie,2026-07-07,2026-01-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/alepsal-comprime-cafeine-phenobarbital
"Verkazia 1 mg/mL, collyre en émulsion – [ciclosporine]",Tension d'approvisionnement,Ophtalmologie,2026-07-07,2026-05-07,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/verkazia-1-mg-ml-collyre-en-emulsion-ciclosporine
Ambrisentan-Volibris tous dosages – [ambrisentan],Tension d'approvisionnement,Cardiologie,2026-07-07,2026-05-06,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ambrisentan-volibris-tous-dosages-ambrisentan
"Micropakine L.P. 500 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",Tension d'approvisionnement,Neurologie,2026-07-07,2025-05-16,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/micropakine-l-p-500-mg-granules-a-liberation-prolongee-en-sachet-dose-acide-valproique-sodium-valproate-de
"Micropakine L.P. 1000 mg, granulés à libération prolongée en sachet-dose - [acide valproïque, sodium (valproate de)]",Remise à disposition,Neurologie,2026-07-07,2026-05-01,2026-05-01,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/micropakine-l-p-1000-mg-granules-a-liberation-prolongee-en-sachet-dose-acide-valproique-sodium-valproate-de
