medicament,statut,domaine,date_maj,date_debut,date_remise,url,substance,nom_court
"Quasym L.P., gélule à libération modifiée - [méthylphénidate]",Tension d'approvisionnement,Psychiatrie,,2026-06-18,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/quasym-l-p-gelule-a-liberation-modifiee-methylphenidate-1,méthylphénidate,Quasym L.P.
"Zypadhera 300 mg, poudre et solvant pour suspension injectable à libération prolongée - [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,2026-06-24,2026-06-24,2026-06-24,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-300-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,Zypadhera 300 mg
"Méthylphénidate Viatris LP, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-17,2026-06-16,2026-06-16,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-viatris-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate Viatris LP
"Téralithe 250 mg, comprimé sécable – [lithium (carbonate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-17,2025-09-17,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/teralithe-250-mg-comprime-secable-lithium-carbonate-de,lithium (carbonate de),Téralithe 250 mg
"Rispéridone 0,5 mg, 1 mg, 2 mg et 4 mg, comprimé orodispersible - [rispéridone]",Tension d'approvisionnement,Psychiatrie,2026-06-16,2025-02-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-0-5-mg-1-mg-2-mg-et-4-mg-comprime-orodispersible-risperidone,rispéridone,Rispéridone 0
"Méthylphénidate EG LP 18 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-10,2025-11-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-eg-lp-18-mg-et-36-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate EG LP 18 mg
"Concerta LP 36 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-10,2026-06-10,2026-06-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Concerta LP 36 mg
"Méthylphénidate EG LP 36 mg et 54 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-06-10,2026-06-10,2026-06-10,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-eg-lp-36-mg-et-54-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate EG LP 36 mg et 54 mg
"Largactil 100 mg, comprimé pelliculé sécable – [chlorpromazine (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-06-09,2026-06-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/largactil-100-mg-comprime-pellicule-secable-chlorpromazine-chlorhydrate-de,chlorpromazine (chlorhydrate de),Largactil 100 mg
Rispéridone 3 mg comprimé orodispersible – [rispéridone],Rupture de stock,Psychiatrie,2026-06-09,2025-09-24,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-3-mg-comprime-orodispersible-risperidone,rispéridone,Rispéridone 3 mg comprimé orodispersible
"Tranxène 20 mg/2 ml, lyophilisat et solution pour usage parentéral – [clorazépate dipotassique]",Rupture de stock,Psychiatrie,2026-05-21,2024-10-02,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tranxene-20-mg-2-ml-lyophilisat-et-solution-pour-usage-parenteral-clorazepate-dipotassique,clorazépate dipotassique,Tranxène 20 mg/2 ml
"Concerta LP 18 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-05-12,2026-05-12,2026-05-12,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-18-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Concerta LP 18 mg
"Concerta LP 54 mg, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-05-07,2026-05-05,2026-05-05,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/concerta-lp-54-mg-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Concerta LP 54 mg
"Fluvoxamine 100 mg, comprimé pelliculé sécable – [fluvoxamine (maléate de)]",Remise à disposition,Psychiatrie,2026-05-05,2026-04-14,2026-04-14,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/fluvoxamine-100-mg-comprime-pellicule-secable-fluvoxamine-maleate-de,fluvoxamine (maléate de),Fluvoxamine 100 mg
"Lyrica 20 mg/ml, solution buvable – [prégabaline]",Remise à disposition,"Psychiatrie, Neurologie",2026-04-27,2026-04-27,2026-04-27,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lyrica-20-mg-ml-solution-buvable-pregabaline,prégabaline,Lyrica 20 mg/ml
"Zypadhera 405 mg, poudre et solvant pour suspension injectable à libération prolongée – [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,,2026-04-21,2026-04-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-405-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,Zypadhera 405 mg
"Zypadhera 210 mg, poudre et solvant pour suspension injectable à libération prolongée – [olanzapine (pamoate d') monohydraté]",Remise à disposition,Psychiatrie,,2026-04-21,2026-04-21,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/zypadhera-210-mg-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-olanzapine-pamoate-d-monohydrate,olanzapine (pamoate d') monohydraté,Zypadhera 210 mg
"Tofranil 10 mg, comprimé enrobé – [imipramine]",Rupture de stock,Psychiatrie,2026-04-15,2022-07-31,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tofranil-10-mg-comprime-enrobe-imipramine,imipramine,Tofranil 10 mg
"Téralithe LP 400 mg, comprimé sécable à libération prolongée – [lithium (carbonate de)]",Remise à disposition,Psychiatrie,2026-04-14,2026-04-08,2026-04-08,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/teralithe-lp-400-mg-comprime-secable-a-liberation-prolongee-lithium-carbonate-de,lithium (carbonate de),Téralithe LP 400 mg
"Spécialités à base de Venlafaxine LP 37,5 mg et LP 75 mg en gélule à libération prolongée – [venlafaxine]",Tension d'approvisionnement,Psychiatrie,2026-04-13,2025-03-20,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/specialites-a-base-de-venlafaxine-lp-37-5-mg-et-lp-75-mg-en-gelule-a-liberation-prolongee-venlafaxine,venlafaxine,Spécialités à base de Venlafaxine LP 37
"Clomipramine Viatris 25 mg, comprimé pelliculé – [clomipramine (chlorhydrate de)]",Tension d'approvisionnement,Psychiatrie,2026-04-10,2025-07-04,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/clomipramine-viatris-25-mg-comprime-pellicule-clomipramine-chlorhydrate-de,clomipramine (chlorhydrate de),Clomipramine Viatris 25 mg
"Tercian 50 mg/5 ml, solution injectable en ampoule – [cyamémazine]",Remise à disposition,Psychiatrie,2026-01-26,2026-01-26,2026-01-26,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tercian-50-mg-5-ml-solution-injectable-en-ampoule-cyamemazine,cyamémazine,Tercian 50 mg/5 ml
"Largactil 25 mg, comprimé pelliculé – [chlorpromazine (chlorhydrate de)]",Remise à disposition,Psychiatrie,2026-01-22,2026-01-22,2026-01-22,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/largactil-25-mg-comprime-pellicule-chlorpromazine-chlorhydrate-de,chlorpromazine (chlorhydrate de),Largactil 25 mg
"Méthylphénidate Biogaran, comprimé à libération prolongée – [méthylphénidate (chlorhydrate de)]",Remise à disposition,"Psychiatrie, Neurologie",2026-01-07,2026-01-07,2026-01-07,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-biogaran-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,méthylphénidate (chlorhydrate de),Méthylphénidate Biogaran
"Rispéridone L.P. 25 mg/2 ml, 37,5 mg/2 ml et 50 mg/2 ml, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie – [rispéridone]",Rupture de stock,Psychiatrie,2026-01-07,2025-05-12,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperidone-l-p-25-mg-2-ml-37-5-mg-2-ml-et-50-mg-2-ml-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-en-seringue-preremplie-risperidone,rispéridone,Rispéridone L.P. 25 mg/2 ml
"RisperdalConsta L.P. 25 mg/2 ml, 37,5 mg/2ml et 50 mg/2 ml poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie – [rispéridone]",Remise à disposition,Psychiatrie,2026-01-07,2025-12-29,2025-12-29,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/risperdalconsta-l-p-25-mg-2-ml-37-5-mg-2ml-et-50-mg-2-ml-poudre-et-solvant-pour-suspension-injectable-a-liberation-prolongee-en-seringue-preremplie-risperidone,rispéridone,RisperdalConsta L.P. 25 mg/2 ml
"Venlafaxine Viatris 50 mg, comprimé pelliculé – [venlafaxine]",Remise à disposition,Psychiatrie,2025-12-15,2025-12-15,2025-12-15,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/venlafaxine-viatris-50-mg-comprime-pellicule-venlafaxine,venlafaxine,Venlafaxine Viatris 50 mg
"Ludiomil 25 et 75 mg, comprimé pelliculé – [maprotiline (chlorhydrate de)]",Rupture de stock,Psychiatrie,2025-07-31,2025-03-28,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/ludiomil-25-et-75-mg-comprime-pellicule-maprotiline-chlorhydrate-de,maprotiline (chlorhydrate de),Ludiomil 25 et 75 mg
"Paliperidone Biogaran, suspension injectable à libération prolongée en seringue préremplie - [palipéridone]",Rupture de stock,Psychiatrie,2025-06-19,2024-06-21,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/paliperidone-biogaran-suspension-injectable-a-liberation-prolongee-en-seringue-preremplie-paliperidone,palipéridone,Paliperidone Biogaran
