substance_norm,classe,trouble,indication_has
alprazolam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
bromazépam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
clobazam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
clorazépate dipotassique,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
clotiazépam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
diazépam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
loflazépate d'éthyle,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
lorazépam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
oxazépam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
prazépam,Anxiolytique (benzodiazépine),Anxiété,Traitement symptomatique des manifestations anxieuses sévères et/ou invalidantes
hydroxyzine,Anxiolytique (antihistaminique),Anxiété légère,Manifestations mineures de l'anxiété chez l'adulte
buspirone,Anxiolytique,Anxiété généralisée,Traitement de l'anxiété (trouble anxiété généralisée)
citalopram,Antidépresseur (ISRS),Trouble panique,Trouble panique avec ou sans agoraphobie
escitalopram,Antidépresseur (ISRS),Anxiété généralisée / panique / anxiété sociale,"TAG, trouble panique, trouble anxiété sociale, TOC"
fluoxétine,Antidépresseur (ISRS),TOC,Troubles obsessionnels compulsifs
fluvoxamine,Antidépresseur (ISRS),TOC,Troubles obsessionnels compulsifs
paroxétine,Antidépresseur (ISRS),Anxiété sociale / panique / TOC / ESPT / TAG,"TAG, trouble panique, anxiété sociale, TOC, ESPT"
sertraline,Antidépresseur (ISRS),Trouble panique / TOC / anxiété sociale / ESPT,"Trouble panique, TOC, anxiété sociale, ESPT"
venlafaxine,Antidépresseur (IRSNa),Anxiété généralisée / panique / anxiété sociale,"TAG, trouble panique, trouble anxiété sociale"
duloxétine,Antidépresseur (IRSNa),Anxiété généralisée,Trouble anxiété généralisée
clomipramine,Antidépresseur (tricyclique),TOC / trouble panique,"TOC, prévention des attaques de panique"
cyamémazine,Antipsychotique,Anxiété (2e intention),Traitement de courte durée de l'anxiété de l'adulte en cas d'échec des thérapeutiques habituelles
sulpiride,Antipsychotique,Anxiété (2e intention),Traitement de courte durée de l'anxiété de l'adulte en cas d'échec des thérapeutiques habituelles
