contexte,classe_concernee,niveau,regle,source
toujours,Anxiolytique (benzodiazépine),Règle de bon usage,Durée maximale : 12 semaines dans l'anxiété. Le traitement doit être le plus court possible et réévalué régulièrement.,"ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
toujours,Anxiolytique (benzodiazépine),Règle de bon usage,"L'arrêt doit être programmé dès l'initiation du traitement, avec une diminution progressive des doses (risque d'effet rebond en cas d'arrêt brutal).","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
toujours,Anxiolytique (benzodiazépine),Règle de bon usage,Débuter par les doses les plus faibles adaptées à la situation clinique. Ne pas dépasser la dose maximale recommandée.,"ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
toujours,Anxiolytique (benzodiazépine),Vigilance,"Risque de dépendance physique et psychique, et de tolérance (nécessité d'augmenter les doses). Le risque augmente avec la dose et la durée.","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
toujours,Anxiolytique (benzodiazépine),Vigilance élevée,Il est recommandé de NE PAS associer plusieurs benzodiazépines : leurs effets indésirables s'additionnent.,"ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
toujours,Anxiolytique (benzodiazépine),Vigilance,"Diminution forte de la capacité à conduire un véhicule ou à utiliser des machines. Troubles de la mémoire, somnolence, réactions paradoxales possibles.","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
depression,Anxiolytique (benzodiazépine),Vigilance élevée,"En cas de dépression, les benzodiazépines ne doivent PAS être prescrites seules (sans psychothérapie et/ou antidépresseur) : elles masquent les symptômes et laissent la dépression évoluer, avec persistance voire augmentation du risque suicidaire.","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
personne_agee,Anxiolytique (benzodiazépine),Vigilance élevée,Chez la personne de 65 ans et plus : éviter d'initier un traitement par benzodiazépine.,"ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
personne_agee,Anxiolytique (benzodiazépine),Vigilance élevée,"Si un traitement est nécessaire chez la personne âgée : privilégier une benzodiazépine à demi-vie courte (clotiazépam, oxazépam) et DIVISER LA POSOLOGIE PAR DEUX par rapport à un adulte plus jeune.","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
personne_agee,Anxiolytique (benzodiazépine),Vigilance élevée,"Sensibilité accrue de la personne âgée aux effets indésirables : risque de chute, perturbation cognitive, réaction paradoxale.","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
grossesse,Anxiolytique (benzodiazépine),Vigilance élevée,Benzodiazépines déconseillées pendant la grossesse (risques pour l'enfant). Informer tous les professionnels de santé consultés.,"ANSM, brochure Anxiété et médicaments (2025)"
opioides,Anxiolytique (benzodiazépine),Vigilance élevée,"En cas de surdosage ou d'association à un opioïde (morphine, tramadol, codéine), la somnolence induite par les benzodiazépines peut aller jusqu'au COMA.","ANSM, Bon usage des benzodiazépines, mis à jour 03/09/2025"
